#CLUSTER             ddG_298.15K_[Eh]       ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
2eda2nta             -20.09925462974934     -57.870450379210524  -126.68521130189689
1am1eda1msa1nta      -20.207039972912753    -55.54345859057503   -118.51892878579982
1eda1fa1sa1tma       -20.26846344479418     -55.87827146713971   -119.43588134187655
2am2msa              -20.33878503390588     -55.44962515030056   -117.76233478634971
2eda1nta             -20.82033812912414     -45.70144453152898   -83.4516397868885
2eda1fa1sa           -20.934464554244187    -57.81114175013499   -123.68498137108935
4sa5w                -21.189398531336337    -112.11341947095934  -304.9606605377504
1dma1fa1ma1sa        -21.219523775565904    -55.67101017164532   -115.55085157117473
1am1ma1nta1sa        -21.248420609801542    -53.754475285997614  -109.02584161118958
1am2homF2sa          -21.256659141159616    -77.811605356168     -189.68621906770284
1dma2msa             -21.321063504903577    -47.070761607261375  -86.36491062371705
1ma1msa1nta1tma      -21.72161778305599     -57.06774229669827   -118.5514825214886
1dma2nta1tma         -21.7741428338486      -56.09393058592104   -115.10913215570612
3msa3sa              -21.825112049933523    -89.91010600095615   -228.35818866638795
1dma1eda1fa1sa       -21.938289814337622    -58.39021071960451   -122.26034179255983
1dma1homF1sa         -22.125877970305737    -50.39105106564239   -94.80185509068836
1dma1fa1sa1tma       -22.178580602645525    -56.84691843306064   -116.27817484616689
1am1eda1nta1sa       -22.255056909343693    -58.18386384216137   -120.5058089309388
1am1homF2sa          -22.25835372810252     -62.06911461602431   -133.52594629496508
4sa3w                -22.391651462763548    -93.95669049280696   -240.03031705695
1am2msa1tma          -22.40963288403873     -58.18630911622313   -119.99556006077138
1eda2msa             -22.592363648465835    -50.928606247063726  -95.04022337374361
2dma1fa1msa          -22.689178043452557    -58.21881413226947   -119.1669833604784
2ma1msa1nta          -22.992759766319068    -58.832017466716934  -120.20545933435676
1am1dma1msa1nta      -22.993476776900934    -57.46222996438155   -115.60876467423611
1dma1ma2nta          -23.002105752762873    -57.82919999532169   -116.81064646154219
